h min seg;ACC ACCX ACCY ACCZ m/s^2;GGY GGYX GGYY GGYZ rad/s;DIS D6 D7 [mm];Colision D6(Bool) D7(Bool);Temperatura Ambiental CPU_MR [ºC]
0 4 45;0 0 -10;0 0 0;255 255;0 0;23 60.39
0 4 47;0 0 -10;0 0 0;255 46;0 1;23 60.03
0 4 47;0 0 -10;0 0 0;255 46;0 1;23 60.52
0 4 47;0 0 -10;0 0 0;255 46;0 1;23 60.2
0 4 47;0 0 -10;0 0 0;255 46;0 1;23 60.14
0 4 47;0 0 -10;0 0 0;255 46;0 1;23 60.33
0 4 49;0 0 -10;0 0 0;255 18;0 1;23 60.31
0 4 49;0 0 -10;0 0 0;255 18;0 1;23 60.14
0 4 49;0 0 -10;0 0 0;255 18;0 1;23 60.4
0 4 49;0 0 -10;0 0 0;255 18;0 1;23 60.26
0 4 51;0 0 -10;0 0 0;255 16;0 1;23 60.48
0 4 51;0 0 -10;0 0 0;255 16;0 1;23 60.28
0 4 51;0 0 -10;0 0 0;255 16;0 1;23 60.35
0 4 51;0 0 -10;0 0 0;255 16;0 1;23 60.58
0 4 53;0 0 -10;0 0 0;255 19;0 1;23 60.23
0 4 53;0 0 -10;0 0 0;255 19;0 1;23 59.58
0 4 53;0 0 -10;0 0 0;255 19;0 1;23 59.29
0 4 53;0 0 -10;0 0 0;255 19;0 1;23 60.57
0 4 55;0 0 -10;0 0 0;255 26;0 1;23 60.24
0 4 55;0 0 -10;0 0 0;255 26;0 1;23 60.25
0 4 55;0 0 -10;0 0 0;255 26;0 1;23 60.48
0 4 55;0 0 -10;0 0 0;255 26;0 1;23 60.14
0 4 55;0 0 -10;0 0 0;255 26;0 1;23 59.72
0 4 57;0 0 -10;0 0 0;255 29;0 1;23 59.88
0 4 57;0 0 -10;0 0 0;255 29;0 1;23 59.74
0 4 57;0 0 -10;0 0 0;255 29;0 1;23 60.33
0 4 57;0 0 -10;0 0 0;255 29;0 1;23 60.43
0 4 59;0 0 -10;0 0 0;255 23;0 1;23 60.38
0 4 59;0 0 -10;0 0 0;255 23;0 1;23 60.51
0 4 59;0 0 -10;0 0 0;255 23;0 1;23 60.63
0 4 59;0 0 -10;0 0 0;255 23;0 1;23 60.37
0 5 1;0 0 -10;0 0 0;255 255;0 0;23 60.46
0 5 1;0 0 -10;0 0 0;255 255;0 0;23 60.33
0 5 1;0 0 -10;0 0 0;255 255;0 0;23 60.24
0 5 1;0 0 -10;0 0 0;255 255;0 0;23 60.65
0 5 3;0 0 -10;0 0 0;255 255;0 0;23 60.38
0 5 3;0 0 -10;0 0 0;255 255;0 0;23 60.61
0 5 3;0 0 -10;0 0 0;255 255;0 0;23 60.56
0 5 3;0 0 -10;0 0 0;255 255;0 0;23 60.48
0 5 3;0 0 -10;0 0 0;255 255;0 0;23 60.52
0 5 5;0 0 -10;0 0 0;255 255;0 0;23 60.62
0 5 5;0 0 -10;0 0 0;255 255;0 0;23 60.57
0 5 5;0 0 -10;0 0 0;255 255;0 0;23 60.33
0 5 5;0 0 -10;0 0 0;255 255;0 0;23 60.38
0 5 7;0 0 -10;0 0 0;255 255;0 0;23 60.61
0 5 7;0 0 -10;0 0 0;255 255;0 0;23 60.76
0 5 7;0 0 -10;0 0 0;255 255;0 0;23 60.56
0 5 7;0 0 -10;0 0 0;255 255;0 0;23 60.48
0 5 9;0 0 -10;0 0 0;255 255;0 0;23 60.76
0 5 9;0 0 -10;0 0 0;255 255;0 0;23 60.48
0 5 9;0 0 -10;0 0 0;255 255;0 0;23 60.52
0 5 9;0 0 -10;0 0 0;255 255;0 0;23 60.25
0 5 11;0 0 -10;0 0 0;255 255;0 0;23 60.47
0 5 11;0 0 -10;0 0 0;255 255;0 0;23 59.97
0 5 11;0 0 -10;0 0 0;255 255;0 0;23 59.86
0 5 11;0 0 -10;0 0 0;255 255;0 0;23 60.06
0 5 11;0 0 -10;0 0 0;255 255;0 0;23 59.86
0 5 13;0 0 -10;0 0 0;255 255;0 0;23 60.19
0 5 13;0 0 -10;0 0 0;255 255;0 0;23 60.26
0 5 13;0 0 -10;0 0 0;255 255;0 0;23 60.02
0 5 15;0 0 -10;0 0 0;255 255;0 0;23 60.15
0 5 15;0 0 -10;0 0 0;255 255;0 0;23 59.97
0 5 15;0 0 -10;0 0 0;255 255;0 0;23 60.1
0 5 17;0 0 -10;0 0 0;255 255;0 0;23 60.11
0 5 17;0 0 -10;0 0 0;255 255;0 0;23 59.86
0 5 17;0 0 -10;0 0 0;255 255;0 0;23 60.01
0 5 17;0 0 -10;0 0 0;255 255;0 0;23 59.96
0 5 19;0 0 -10;0 0 0;255 255;0 0;23 60.01
0 5 19;0 0 -10;0 0 0;255 255;0 0;23 60.15
0 5 19;0 0 -10;0 0 0;255 255;0 0;23 60.01
0 5 19;0 0 -10;0 0 0;255 255;0 0;23 60.06
0 5 19;0 0 -10;0 0 0;255 255;0 0;23 60.2
0 5 21;0 0 -10;0 0 0;255 255;0 0;23 60.34
0 5 21;0 0 -10;0 0 0;255 255;0 0;23 60.22
0 5 24;0 0 -10;0 0 0;255 255;0 0;23 60.3
0 5 24;0 0 -10;0 0 0;255 255;0 0;23 59.98
0 5 24;0 0 -10;0 0 0;255 255;0 0;23 60.18
0 5 24;0 0 -10;0 0 0;255 255;0 0;23 60.23
0 5 24;0 0 -10;0 0 0;255 255;0 0;23 60.34
0 5 26;0 0 -10;0 0 0;255 255;0 0;23 60.23
0 5 26;0 0 -10;0 0 0;255 255;0 0;23 60.43
0 5 26;0 0 -10;0 0 0;255 255;0 0;23 60.24
0 5 26;0 0 -10;0 0 0;255 255;0 0;23 60.34
0 5 28;0 0 -10;0 0 0;255 255;0 0;23 60.28
0 5 28;0 0 -10;0 0 0;255 255;0 0;23 60.29
0 5 28;0 0 -10;0 0 0;255 255;0 0;23 60.25
0 5 28;0 0 -10;0 0 0;255 255;0 0;23 60.2
0 5 30;0 0 -10;0 0 0;255 31;0 1;23 60.19
0 5 30;0 0 -10;0 0 0;255 31;0 1;23 60.52
0 5 30;0 0 -10;0 0 0;255 31;0 1;23 60.32
0 5 30;0 0 -10;0 0 0;255 31;0 1;23 60.24
0 5 32;0 0 -10;0 0 0;255 27;0 1;23 59.87
0 5 32;0 0 -10;0 0 0;255 27;0 1;23 60.2
0 5 32;0 0 -10;0 0 0;255 27;0 1;23 60.29
0 5 32;0 0 -10;0 0 0;255 27;0 1;23 60.37
0 5 34;0 0 -10;0 0 0;255 35;0 1;23 60.28
0 5 34;0 0 -10;0 0 0;255 35;0 1;23 60.33
0 5 34;0 0 -10;0 0 0;255 35;0 1;23 60.34
0 5 34;0 0 -10;0 0 0;255 35;0 1;23 60.52
0 5 36;0 0 -10;0 0 0;255 38;0 1;23 60.52
0 5 36;0 0 -10;0 0 0;255 38;0 1;23 60.76
0 5 36;0 0 -10;0 0 0;255 38;0 1;23 60.53
0 5 38;0 0 -10;0 0 0;255 43;0 1;23 60.23
0 5 38;0 0 -10;0 0 0;255 43;0 1;23 60.95
0 5 38;0 0 -10;0 0 0;255 43;0 1;23 60.48
0 5 38;0 0 -10;0 0 0;255 43;0 1;23 60.24
0 5 40;0 0 -10;0 0 0;255 255;0 0;23 60.52
0 5 40;0 0 -10;0 0 0;255 255;0 0;23 60.51
0 5 40;0 0 -10;0 0 0;255 255;0 0;23 60.29
0 5 40;0 0 -10;0 0 0;255 255;0 0;23 60.14
0 5 42;0 0 -10;0 0 0;255 255;0 0;23 60.65
0 5 42;0 0 -10;0 0 0;255 255;0 0;23 60.76
0 5 42;0 0 -10;0 0 0;255 255;0 0;23 60.46
0 5 42;0 0 -10;0 0 0;255 255;0 0;23 60.7
0 5 44;0 0 -10;0 0 0;255 255;0 0;23 60.57
0 5 44;0 0 -10;0 0 0;255 255;0 0;23 60.76
0 5 44;0 0 -10;0 0 0;255 255;0 0;23 60.75
0 5 44;0 0 -10;0 0 0;255 255;0 0;23 60.61
0 5 46;0 0 -10;0 0 0;255 255;0 0;23 60.66
0 5 46;0 0 -10;0 0 0;255 255;0 0;23 60.48
0 5 46;0 0 -10;0 0 0;255 255;0 0;23 60.37
0 5 46;0 0 -10;0 0 0;255 255;0 0;23 60.76
0 5 46;0 0 -10;0 0 0;255 255;0 0;23 60.52
0 5 48;0 0 -10;0 0 0;255 255;0 0;23 60.66
0 5 48;0 0 -10;0 0 0;255 255;0 0;23 60.42
0 5 48;0 0 -10;0 0 0;255 255;0 0;23 60.46
0 5 48;0 0 -10;0 0 0;255 255;0 0;23 60.42
0 5 50;0 0 -10;0 0 0;255 255;0 0;23 60.48
0 5 50;0 0 -10;0 0 0;255 255;0 0;23 60.81
0 5 50;0 0 -10;0 0 0;255 255;0 0;23 60.53
0 5 50;0 0 -10;0 0 0;255 255;0 0;23 60.8
0 5 52;0 0 -10;0 0 0;255 255;0 0;23 60.38
0 5 52;0 0 -10;0 0 0;255 255;0 0;23 60.66
0 5 52;0 0 -10;0 0 0;255 255;0 0;23 60.75
0 5 52;0 0 -10;0 0 0;255 255;0 0;23 60.91
0 5 52;0 0 -10;0 0 0;255 255;0 0;23 60.66
0 5 54;0 0 -10;0 0 0;255 59;0 1;23 60.6
0 5 54;0 0 -10;0 0 0;255 59;0 1;23 60.77
0 5 54;0 0 -10;0 0 0;255 59;0 1;23 60.42
