h min seg;ACC ACCX ACCY ACCZ m/s^2;GGY GGYX GGYY GGYZ rad/s;DIS D6 D7 [mm];Colision D6(Bool) D7(Bool);Temperatura Ambiental CPU_MR [ºC]
0 2 47;0 0 -10;0 0 0;255 255;0 0;24 64.85
0 2 47;0 0 -10;0 0 0;255 255;0 0;24 65.05
0 2 47;0 0 -10;0 0 0;255 255;0 0;24 65.65
0 2 49;0 0 -10;0 0 0;255 255;0 0;24 65.0
0 2 49;0 0 -10;0 0 0;255 255;0 0;24 64.95
0 2 49;0 0 -10;0 0 0;255 255;0 0;24 65.05
0 2 49;0 0 -10;0 0 0;255 255;0 0;24 64.55
0 2 51;0 0 -10;0 0 0;255 255;0 0;24 64.65
0 2 51;0 0 -10;0 0 0;255 255;0 0;24 64.7
0 2 51;0 0 -10;0 0 0;255 255;0 0;24 65.1
0 2 53;0 0 -10;0 0 0;255 255;0 0;24 64.8
0 2 53;0 0 -10;0 0 0;255 255;0 0;24 64.6
0 2 53;0 0 -10;0 0 0;255 255;0 0;24 64.75
0 2 53;0 0 -10;0 0 0;255 255;0 0;24 64.85
0 2 55;0 0 -10;0 0 0;255 255;0 0;24 64.7
0 2 55;0 0 -10;0 0 0;255 255;0 0;24 64.9
0 2 55;0 0 -10;0 0 0;255 255;0 0;24 64.95
0 2 55;0 0 -10;0 0 0;255 255;0 0;24 65.2
0 2 57;0 0 -10;0 0 0;255 255;0 0;24 64.9
0 2 57;0 0 -10;0 0 0;255 255;0 0;24 64.8
0 2 57;0 0 -10;0 0 0;255 255;0 0;24 65.25
0 2 57;0 0 -10;0 0 0;255 255;0 0;24 65.0
0 2 59;0 0 -10;0 0 0;255 43;0 1;24 64.8
0 2 59;0 0 -10;0 0 0;255 43;0 1;24 65.1
0 2 59;0 0 -10;0 0 0;255 43;0 1;24 65.45
0 2 59;0 0 -10;0 0 0;255 43;0 1;24 64.85
0 3 1;0 0 -10;0 0 0;255 31;0 1;24 64.65
0 3 1;0 0 -10;0 0 0;255 31;0 1;24 64.85
0 3 3;0 0 -10;0 0 0;255 255;0 0;24 64.7
0 3 3;0 0 -10;0 0 0;255 255;0 0;24 64.8
0 3 3;0 0 -10;0 0 0;255 255;0 0;24 64.85
0 3 5;0 0 -10;0 0 0;255 255;0 0;24 64.8
0 3 5;0 0 -10;0 0 0;255 255;0 0;24 65.01
0 3 5;0 0 -10;0 0 0;255 255;0 0;24 65.1
0 3 5;0 0 -10;0 0 0;255 255;0 0;24 65.35
0 3 8;0 0 -10;0 0 0;255 255;0 0;24 65.3
0 3 8;0 0 -10;0 0 0;255 255;0 0;24 65.0
0 3 8;0 0 -10;0 0 0;255 255;0 0;24 65.15
0 3 10;0 0 -10;0 0 0;255 255;0 0;24 65.1
0 3 10;0 0 -10;0 0 0;255 255;0 0;24 64.9
0 3 12;0 0 -10;0 0 0;255 255;0 0;24 64.85
0 3 12;0 0 -10;0 0 0;255 255;0 0;24 65.05
0 3 12;0 0 -10;0 0 0;255 255;0 0;24 65.1
0 3 14;0 0 -10;0 0 0;255 255;0 0;24 64.85
0 3 14;0 0 -10;0 0 0;255 255;0 0;24 65.2
0 3 14;0 0 -10;0 0 0;255 255;0 0;24 65.0
0 3 16;0 0 -10;0 0 0;255 255;0 0;24 65.15
0 3 16;0 0 -10;0 0 0;255 255;0 0;24 65.05
0 3 16;0 0 -10;0 0 0;255 255;0 0;24 65.4
0 3 16;0 0 -10;0 0 0;255 255;0 0;24 65.15
0 3 18;0 0 -10;0 0 0;255 255;0 0;24 64.7
0 3 18;0 0 -10;0 0 0;255 255;0 0;24 65.0
0 3 18;0 0 -10;0 0 0;255 255;0 0;24 65.25
0 3 18;0 0 -10;0 0 0;255 255;0 0;24 65.15
0 3 20;0 0 -10;0 0 0;255 255;0 0;24 64.9
0 3 20;0 0 -10;0 0 0;255 255;0 0;24 65.15
0 3 20;0 0 -10;0 0 0;255 255;0 0;24 65.05
0 3 20;0 0 -10;0 0 0;255 255;0 0;24 65.15
0 3 22;0 0 -10;0 0 0;255 255;0 0;24 64.85
0 3 22;0 0 -10;0 0 0;255 255;0 0;24 65.1
0 3 22;0 0 -10;0 0 0;255 255;0 0;24 64.7
0 3 24;0 0 -10;0 0 0;255 255;0 0;24 65.25
0 3 24;0 0 -10;0 0 0;255 255;0 0;24 65.35
0 3 24;0 0 -10;0 0 0;255 255;0 0;24 65.75
0 3 24;0 0 -10;0 0 0;255 255;0 0;24 64.95
0 3 26;0 0 -10;0 0 0;255 255;0 0;24 65.1
0 3 26;0 0 -10;0 0 0;255 255;0 0;24 65.15
0 3 26;0 0 -10;0 0 0;255 255;0 0;24 65.25
0 3 26;0 0 -10;0 0 0;255 255;0 0;24 65.3
0 3 28;0 0 -10;0 0 0;255 255;0 0;24 65.3
0 3 28;0 0 -10;0 0 0;255 255;0 0;24 65.5
0 3 28;0 0 -10;0 0 0;255 255;0 0;24 65.15
0 3 28;0 0 -10;0 0 0;255 255;0 0;24 65.25
0 3 30;0 0 -10;0 0 0;255 255;0 0;24 65.2
0 3 30;0 0 -10;0 0 0;255 255;0 0;24 65.4
0 3 32;0 0 -10;0 0 0;255 255;0 0;24 65.3
0 3 32;0 0 -10;0 0 0;255 255;0 0;24 65.0
0 3 32;0 0 -10;0 0 0;255 255;0 0;24 65.35
0 3 32;0 0 -10;0 0 0;255 255;0 0;24 65.45
0 3 34;0 0 -10;0 0 0;255 255;0 0;24 65.35
0 3 34;0 0 -10;0 0 0;255 255;0 0;24 65.7
0 3 34;0 0 -10;0 0 0;255 255;0 0;24 65.35
0 3 36;0 0 -10;0 0 0;255 255;0 0;24 65.25
0 3 36;0 0 -10;0 0 0;255 255;0 0;24 65.6
0 3 36;0 0 -10;0 0 0;255 255;0 0;24 65.3
0 3 36;0 0 -10;0 0 0;255 255;0 0;24 65.5
0 3 38;0 0 -10;0 0 0;255 255;0 0;24 65.4
0 3 38;0 0 -10;0 0 0;255 255;0 0;24 65.15
0 3 38;0 0 -10;0 0 0;255 255;0 0;24 65.35
0 3 40;0 0 -10;0 0 0;255 255;0 0;24 65.6
0 3 40;0 0 -10;0 0 0;255 255;0 0;24 65.35
0 3 40;0 0 -10;0 0 0;255 255;0 0;24 65.55
0 3 42;0 0 -10;0 0 0;255 255;0 0;24 65.2
0 3 42;0 0 -10;0 0 0;255 255;0 0;24 65.5
0 3 42;0 0 -10;0 0 0;255 255;0 0;24 65.25
0 3 42;0 0 -10;0 0 0;255 255;0 0;24 65.7
0 3 44;0 0 -10;0 0 0;255 255;0 0;24 65.85
0 3 44;0 0 -10;0 0 0;255 255;0 0;24 65.3
0 3 44;0 0 -10;0 0 0;255 255;0 0;24 65.15
0 3 44;0 0 -10;0 0 0;255 255;0 0;24 65.45
0 3 44;0 0 -10;0 0 0;255 255;0 0;24 65.25
0 3 46;0 0 -10;0 0 0;255 255;0 0;24 65.0
0 3 46;0 0 -10;0 0 0;255 255;0 0;24 65.4
0 3 46;0 0 -10;0 0 0;255 255;0 0;24 64.65
0 3 46;0 0 -10;0 0 0;255 255;0 0;24 65.0
0 3 48;0 0 -10;0 0 0;255 255;0 0;24 65.45
0 3 48;0 0 -10;0 0 0;255 255;0 0;24 65.1
0 3 48;0 0 -10;0 0 0;255 255;0 0;24 65.3
0 3 50;0 0 -10;0 0 0;255 255;0 0;24 64.8
0 3 50;0 0 -10;0 0 0;255 255;0 0;24 65.1
0 3 50;0 0 -10;0 0 0;255 255;0 0;24 65.25
0 3 50;0 0 -10;0 0 0;255 255;0 0;24 65.05
0 3 52;0 0 -10;0 0 0;255 255;0 0;24 65.25
0 3 52;0 0 -10;0 0 0;255 255;0 0;24 64.8
0 3 52;0 0 -10;0 0 0;255 255;0 0;24 65.1
0 3 52;0 0 -10;0 0 0;255 255;0 0;24 65.4
0 3 54;0 0 -10;0 0 0;255 255;0 0;24 65.2
0 3 54;0 0 -10;0 0 0;255 255;0 0;24 65.85
0 3 54;0 0 -10;0 0 0;255 255;0 0;24 65.6
0 3 54;0 0 -10;0 0 0;255 255;0 0;24 65.85
0 3 56;0 0 -10;0 0 0;255 255;0 0;24 65.5
0 3 56;0 0 -10;0 0 0;255 255;0 0;24 65.35
0 3 56;0 0 -10;0 0 0;255 255;0 0;24 65.6
0 3 56;0 0 -10;0 0 0;255 255;0 0;24 65.75
0 3 58;0 0 -10;0 0 0;255 255;0 0;24 65.3
0 3 58;0 0 -10;0 0 0;255 255;0 0;24 65.8
0 3 58;0 0 -10;0 0 0;255 255;0 0;24 65.45
0 3 58;0 0 -10;0 0 0;255 255;0 0;24 65.85
0 4 0;0 0 -10;0 0 0;255 255;0 0;24 65.6
0 4 0;0 0 -10;0 0 0;255 255;0 0;24 65.45
0 4 0;0 0 -10;0 0 0;255 255;0 0;24 65.5
0 0 3;0 0 -10;0 0 0;255 255;0 0;24 60.24
0 0 3;0 0 -10;0 0 0;255 255;0 0;24 60.47
0 0 3;0 0 -10;0 0 0;255 255;0 0;24 60.37
0 0 3;0 0 -10;0 0 0;255 255;0 0;24 60.76
0 0 5;0 0 -10;0 0 0;255 255;0 0;24 60.85
0 0 5;0 0 -10;0 0 0;255 255;0 0;24 60.76
0 0 5;0 0 -10;0 0 0;255 255;0 0;24 60.85
0 0 5;0 0 -10;0 0 0;255 255;0 0;24 60.91
0 0 7;0 0 -10;0 0 0;255 255;0 0;24 60.95
0 0 7;0 0 -10;0 0 0;255 255;0 0;24 61.01
0 0 7;0 0 -10;0 0 0;255 255;0 0;24 61.0
0 0 9;0 0 -10;0 0 0;255 255;0 0;24 61.15
0 0 9;0 0 -10;0 0 0;255 255;0 0;24 61.2
0 0 9;0 0 -10;0 0 0;255 255;0 0;24 61.25
0 0 9;0 0 -10;0 0 0;255 255;0 0;24 61.45
0 0 11;0 0 -10;0 0 0;255 255;0 0;24 61.15
0 0 11;0 0 -10;0 0 0;255 255;0 0;24 61.3
0 0 11;0 0 -10;0 0 0;255 255;0 0;24 61.6
0 0 11;0 0 -10;0 0 0;255 255;0 0;24 61.8
0 0 13;0 0 -10;0 0 0;255 255;0 0;24 61.3
0 0 13;0 0 -10;0 0 0;255 255;0 0;24 61.6
0 0 13;0 0 -10;0 0 0;255 255;0 0;24 61.65
0 0 15;0 0 -10;0 0 0;255 255;0 0;24 61.4
0 0 15;0 0 -10;0 0 0;255 255;0 0;24 61.8
0 0 15;0 0 -10;0 0 0;255 255;0 0;24 62.2
0 0 17;0 0 -10;0 0 0;255 255;0 0;24 62.15
0 0 17;0 0 -10;0 0 0;255 255;0 0;24 61.75
0 0 17;0 0 -10;0 0 0;255 255;0 0;24 61.85
0 0 17;0 0 -10;0 0 0;255 255;0 0;24 61.9
0 0 19;0 0 -10;0 0 0;255 255;0 0;24 61.65
0 0 19;0 0 -10;0 0 0;255 255;0 0;24 62.0
0 0 19;0 0 -10;0 0 0;255 255;0 0;24 62.1
0 0 19;0 0 -10;0 0 0;255 255;0 0;24 61.75
0 0 21;0 0 -10;0 0 0;255 255;0 0;24 62.1
0 0 21;0 0 -10;0 0 0;255 255;0 0;24 62.25
0 0 21;0 0 -10;0 0 0;255 255;0 0;24 61.95
0 0 21;0 0 -10;0 0 0;255 255;0 0;24 62.0
0 0 23;0 0 -10;0 0 0;255 255;0 0;24 62.25
0 0 23;0 0 -10;0 0 0;255 255;0 0;24 61.85
0 0 23;0 0 -10;0 0 0;255 255;0 0;24 62.0
0 0 23;0 0 -10;0 0 0;255 255;0 0;24 62.05
0 0 25;0 0 -10;0 0 0;255 255;0 0;24 61.85
0 0 25;0 0 -10;0 0 0;255 255;0 0;24 61.65
0 0 25;0 0 -10;0 0 0;255 255;0 0;24 62.1
0 0 25;0 0 -10;0 0 0;255 255;0 0;24 62.05
0 0 25;0 0 -10;0 0 0;255 255;0 0;24 62.1
0 0 27;0 0 -10;0 0 0;255 255;0 0;24 62.3
0 0 27;0 0 -10;0 0 0;255 255;0 0;24 62.5
0 0 27;0 0 -10;0 0 0;255 255;0 0;24 63.04
0 0 29;0 0 -10;0 0 0;255 255;0 0;24 62.7
0 0 29;0 0 -10;0 0 0;255 255;0 0;24 62.6
0 0 29;0 0 -10;0 0 0;255 255;0 0;24 62.44
0 0 29;0 0 -10;0 0 0;255 255;0 0;24 62.2
0 0 31;0 0 -10;0 0 0;255 255;0 0;24 61.8
0 0 31;0 0 -10;0 0 0;255 255;0 0;24 62.69
0 0 31;0 0 -10;0 0 0;255 255;0 0;24 62.25
0 0 31;0 0 -10;0 0 0;255 255;0 0;24 62.89
0 0 31;0 0 -10;0 0 0;255 255;0 0;24 62.84
0 0 33;0 0 -10;0 0 0;255 255;0 0;24 62.8
0 0 33;0 0 -10;0 0 0;255 255;0 0;24 63.0
0 0 33;0 0 -10;0 0 0;255 255;0 0;24 62.99
0 0 33;0 0 -10;0 0 0;255 255;0 0;24 62.74
0 0 35;0 0 -10;0 0 0;255 255;0 0;24 63.13
0 0 35;0 0 -10;0 0 0;255 255;0 0;24 63.02
0 0 35;0 0 -10;0 0 0;255 255;0 0;24 62.8
0 0 35;0 0 -10;0 0 0;255 255;0 0;24 63.18
0 0 37;0 0 -10;0 0 0;255 255;0 0;24 63.41
0 0 37;0 0 -10;0 0 0;255 255;0 0;24 62.94
0 0 37;0 0 -10;0 0 0;255 255;0 0;24 63.23
0 0 39;0 0 -10;0 0 0;255 255;0 0;24 63.02
0 0 39;0 0 -10;0 0 0;255 255;0 0;24 63.13
0 0 39;0 0 -10;0 0 0;255 255;0 0;24 63.31
0 0 39;0 0 -10;0 0 0;255 255;0 0;24 63.13
0 0 39;0 0 -10;0 0 0;255 255;0 0;24 63.56
0 0 41;0 0 -10;0 0 0;255 255;0 0;24 63.27
0 0 41;0 0 -10;0 0 0;255 255;0 0;24 63.42
0 0 41;0 0 -10;0 0 0;255 255;0 0;24 63.22
0 0 41;0 0 -10;0 0 0;255 255;0 0;24 63.5
0 0 43;0 0 -10;0 0 0;255 255;0 0;24 63.31
0 0 43;0 0 -10;0 0 0;255 255;0 0;24 63.37
0 0 45;0 0 -10;0 0 0;255 255;0 0;24 63.45
0 0 45;0 0 -10;0 0 0;255 255;0 0;24 63.44
0 0 45;0 0 -10;0 0 0;255 255;0 0;24 63.17
0 0 45;0 0 -10;0 0 0;255 255;0 0;24 63.54
0 0 47;0 0 -10;0 0 0;255 255;0 0;24 63.03
0 0 47;0 0 -10;0 0 0;255 255;0 0;24 63.26
0 0 47;0 0 -10;0 0 0;255 255;0 0;24 63.42
